Atraco Tactico - Reporte de Entrenamiento IA
Fecha: 2026-04-21T20:00:08
Nivel: level_1
Config: poblacion=15, generaciones=10, seleccion=tournament, cruce=uniform, mutacion=0.30x0.30, pesos(a/s/o/p)=1.00/1.00/1.20/1.20

Resumen:
- Gen 1: best=4398.1 | kills=2/5 | dmg=130 | stuck=40f | hongos=0 | success=0%
- Gen 2: best=4399.6 | kills=2/5 | dmg=130 | stuck=40f | hongos=0 | success=0%
- Gen 3: best=4401.8 | kills=2/5 | dmg=130 | stuck=40f | hongos=0 | success=0%
- Gen 4: best=4401.8 | kills=2/5 | dmg=130 | stuck=40f | hongos=0 | success=0%
- Gen 5: best=4402.2 | kills=2/5 | dmg=130 | stuck=40f | hongos=0 | success=0%
- Gen 6: best=4403.0 | kills=2/5 | dmg=130 | stuck=40f | hongos=0 | success=0%
- Gen 7: best=4403.3 | kills=2/5 | dmg=130 | stuck=40f | hongos=0 | success=0%
- Gen 8: best=4407.0 | kills=2/5 | dmg=130 | stuck=40f | hongos=0 | success=0%
- Gen 9: best=4407.1 | kills=2/5 | dmg=130 | stuck=40f | hongos=0 | success=0%
- Gen 10: best=4407.1 | kills=2/5 | dmg=130 | stuck=40f | hongos=0 | success=0%
- Validacion final: NO PASO | kills=2/5 | dmg=130 | sim_t=233.3s | real_t=1.1s | stuck_max=40f | hongos=0

Detalle por individuo:
- gen=1/10 | ind=1/15 | fit=1904.41 | kills=1/5 | dmg=80 | sim_t=200.00s | real_t=1.01s | frames=12000 | stuck=40f | hongos=0 | ok=NO | motivo=timeout
- gen=9/10 | ind=12/15 | fit=4407.04 | kills=2/5 | dmg=130 | sim_t=200.00s | real_t=1.00s | frames=12000 | stuck=40f | hongos=0 | ok=NO | motivo=timeout
- gen=9/10 | ind=13/15 | fit=4403.30 | kills=2/5 | dmg=130 | sim_t=200.00s | real_t=0.99s | frames=12000 | stuck=40f | hongos=0 | ok=NO | motivo=timeout
- gen=9/10 | ind=14/15 | fit=1936.00 | kills=1/5 | dmg=80 | sim_t=200.00s | real_t=1.00s | frames=12000 | stuck=40f | hongos=0 | ok=NO | motivo=timeout
- gen=9/10 | ind=15/15 | fit=4307.06 | kills=2/5 | dmg=130 | sim_t=200.00s | real_t=0.97s | frames=12000 | stuck=40f | hongos=0 | ok=NO | motivo=timeout
- gen=10/10 | ind=1/15 | fit=4407.07 | kills=2/5 | dmg=130 | sim_t=200.00s | real_t=0.99s | frames=12000 | stuck=40f | hongos=0 | ok=NO | motivo=timeout
- gen=10/10 | ind=2/15 | fit=4407.04 | kills=2/5 | dmg=130 | sim_t=200.00s | real_t=0.99s | frames=12000 | stuck=40f | hongos=0 | ok=NO | motivo=timeout
- gen=10/10 | ind=3/15 | fit=4407.02 | kills=2/5 | dmg=130 | sim_t=200.00s | real_t=0.98s | frames=12000 | stuck=40f | hongos=0 | ok=NO | motivo=timeout
- gen=10/10 | ind=4/15 | fit=1974.78 | kills=1/5 | dmg=80 | sim_t=200.00s | real_t=0.94s | frames=12000 | stuck=40f | hongos=0 | ok=NO | motivo=timeout
- gen=10/10 | ind=5/15 | fit=4321.19 | kills=2/5 | dmg=130 | sim_t=200.00s | real_t=0.99s | frames=12000 | stuck=40f | hongos=0 | ok=NO | motivo=timeout
- gen=10/10 | ind=6/15 | fit=4407.07 | kills=2/5 | dmg=130 | sim_t=200.00s | real_t=0.98s | frames=12000 | stuck=40f | hongos=0 | ok=NO | motivo=timeout
- gen=10/10 | ind=7/15 | fit=1974.11 | kills=1/5 | dmg=80 | sim_t=200.00s | real_t=0.92s | frames=12000 | stuck=40f | hongos=0 | ok=NO | motivo=timeout
- gen=10/10 | ind=8/15 | fit=1972.97 | kills=1/5 | dmg=80 | sim_t=200.00s | real_t=0.91s | frames=12000 | stuck=40f | hongos=0 | ok=NO | motivo=timeout
- gen=10/10 | ind=9/15 | fit=4407.04 | kills=2/5 | dmg=130 | sim_t=200.00s | real_t=0.97s | frames=12000 | stuck=40f | hongos=0 | ok=NO | motivo=timeout
- gen=10/10 | ind=10/15 | fit=1972.19 | kills=1/5 | dmg=80 | sim_t=200.00s | real_t=0.94s | frames=12000 | stuck=40f | hongos=0 | ok=NO | motivo=timeout
- gen=10/10 | ind=11/15 | fit=4311.81 | kills=2/5 | dmg=130 | sim_t=200.00s | real_t=1.00s | frames=12000 | stuck=40f | hongos=0 | ok=NO | motivo=timeout
- gen=10/10 | ind=12/15 | fit=4407.07 | kills=2/5 | dmg=130 | sim_t=200.00s | real_t=0.98s | frames=12000 | stuck=40f | hongos=0 | ok=NO | motivo=timeout
- gen=10/10 | ind=13/15 | fit=1808.61 | kills=1/5 | dmg=80 | sim_t=200.00s | real_t=1.00s | frames=12000 | stuck=40f | hongos=0 | ok=NO | motivo=timeout
- gen=10/10 | ind=14/15 | fit=4316.00 | kills=2/5 | dmg=130 | sim_t=200.00s | real_t=0.97s | frames=12000 | stuck=40f | hongos=0 | ok=NO | motivo=timeout
- gen=10/10 | ind=15/15 | fit=4316.07 | kills=2/5 | dmg=130 | sim_t=200.00s | real_t=1.00s | frames=12000 | stuck=40f | hongos=0 | ok=NO | motivo=timeout
